,Date,prix moyen au kg,"Production quantité 
tonne(s)",Température minimale en °C,Température maximale en °C,précipitations en mm,Ensoleillement en min,Rafales (vitesse du vent) en km/h
177,03/08/12,1.25,0.3,12.0,24.1,0.4,330,42.8
178,28/09/20,1.4,0.05,11.7,18.1,0.4,145,40.7
179,25/06/19,2.0,0.2,17.0,32.6,0.0,870,28.8
180,11/08/20,1.4,0.2,19.0,34.4,0.0,359,61.6
181,20/07/20,1.4,0.2,13.7,27.6,0.0,848,37.4
182,23/08/19,1.6,0.32,10.9,28.9,0.0,764,39.6
183,18/10/18,1.5,0.05,10.4,21.9,0.0,544,50.4
184,17/09/18,1.5,0.05,7.2,30.5,0.0,703,33.8
185,10/07/18,1.13,0.045,13.4,25.3,0.0,598,54.0
186,26/10/17,1.15,0.12,7.8,21.4,0.0,548,20.9
187,19/10/17,1.15,0.2,11.9,21.0,1.2,287,46.8
188,11/09/17,1.1,0.76,11.8,19.0,0.0,442,58.0
189,18/07/17,1.25,0.08,16.3,31.6,0.0,662,36.0
190,13/07/17,1.25,0.15,15.4,25.0,0.0,168,28.8
191,29/06/17,1.4,0.4,13.2,20.8,9.0,300,72.0
192,20/06/17,1.3,0.34,18.1,36.0,0.0,648,25.2
193,31/10/16,1.0,0.04,5.7,17.3,0.0,528,29.6
194,02/09/15,0.8,0.168,8.0,21.5,0.0,540,31.5
195,01/09/15,0.8,0.12,15.0,21.8,0.2,145,38.9
196,27/08/15,0.8,1.152,13.3,14.9,31.9,0,44.4
197,10/07/15,1.1,0.6,8.0,29.9,0.0,894,37.1
198,01/07/15,1.35,1.92,18.8,37.5,0.0,846,54.0
199,30/07/13,1.1,0.24,14.9,23.8,0.0,240,56.2
200,14/09/12,1.0,0.08,5.6,18.4,0.0,230,36.0
201,05/09/12,1.0,0.35,13.8,26.1,0.0,390,48.2
202,16/07/12,1.15,0.4,7.7,22.5,0.0,696,46.8
203,11/07/12,1.2,0.192,11.8,20.8,5.0,240,50.0
204,15/06/12,1.5,0.07,14.4,22.1,9.3,198,55.8
205,05/11/20,1.8,0.1,1.8,11.9,0.0,533,46.8
206,29/09/20,1.8,0.1,10.2,21.0,0.0,79,32.4
207,14/09/20,1.8,0.1,11.5,34.5,0.0,711,43.2
208,11/07/13,1.2,3.74,12.2,22.6,0.2,684,41.0
209,17/08/20,1.5,0.1,15.5,24.8,0.6,276,54.0
210,25/09/20,1.1,0.1,8.1,14.9,2.8,283,84.2
211,21/07/20,1.3,0.1,11.7,27.1,0.0,829,50.4
212,13/07/20,1.8,0.15,10.8,27.4,0.0,809,36.0
213,26/09/19,1.5,0.05,15.5,21.0,5.7,35,75.6
214,02/10/18,1.5,0.05,6.9,15.5,0.0,74,39.6
215,07/09/18,1.5,0.06,9.5,22.2,0.0,162,40.0
216,06/09/18,1.5,0.2,15.0,23.4,0.0,281,39.6
217,20/10/17,1.15,0.15,10.8,16.9,0.6,495,57.6
218,17/10/17,1.15,0.67,10.0,23.4,0.2,504,18.0
219,11/10/17,1.15,0.52,13.0,20.6,0.0,263,39.6
220,20/07/17,1.25,0.5,16.9,23.3,0.2,324,57.6
221,03/07/17,1.3,0.52,12.6,26.0,0.2,450,36.0
222,21/09/16,1.0,0.22,7.1,22.2,0.2,678,20.9
223,31/08/16,1.35,0.32,11.8,28.6,0.0,570,22.7
224,26/08/16,1.3,0.36,17.8,34.8,0.0,602,24.1
225,24/08/16,1.35,0.32,16.5,37.0,0.0,774,25.9
226,22/08/16,1.6,0.65,11.9,28.6,0.0,780,40.7
227,27/07/16,1.4,0.8320000000000001,10.5,25.7,0.0,378,35.2
228,22/08/14,0.7,0.3,10.4,20.4,0.0,378,40.7
229,04/08/14,0.62,0.7,13.8,23.8,0.2,308,21.2
230,31/07/14,0.8,0.8,13.0,27.2,0.0,558,20.4
231,27/09/13,0.7,0.75,13.7,25.7,0.4,511,31.5
232,16/08/12,1.15,2.0,11.9,26.0,0.0,734,29.9
233,10/08/12,1.05,0.7,12.8,27.1,0.0,823,45.0
234,07/08/12,1.1,0.9,11.4,22.9,0.0,372,40.7
235,06/11/20,1.8,0.1,2.3,13.4,0.0,491,32.4
236,07/09/20,1.75,0.1,7.0,23.0,0.0,657,32.4
237,03/09/20,0.95,0.5,11.1,27.7,0.0,720,51.5
238,14/08/20,1.35,0.25,17.4,24.2,4.2,216,39.6
239,03/07/20,1.9,0.5,12.5,23.6,0.0,438,37.4
240,23/10/18,1.5,0.05,1.4,17.3,0.0,565,46.8
241,09/10/17,1.15,0.6,10.2,17.5,0.0,194,18.0
242,15/09/17,1.1,0.28,7.2,17.2,3.6,470,42.7
243,21/06/17,1.3,0.4,19.8,36.6,0.0,901,37.4
244,21/10/16,1.5,0.15,5.3,14.5,0.0,72,28.4
245,19/10/16,1.05,0.32,5.2,13.2,0.2,114,31.5
246,11/10/16,1.0,0.09,2.1,14.2,0.0,288,29.9
